name,url,price,image_id
리더스 링클 콜라겐 마스크,https://shoppinghow.kakao.com/product/productdetail.daum?productid=C5084137699&cateid=101107111102&q=,520,a18de8cd-c730-4f36-b16f-665cca908c11
이켈 녹차 울트라 하이드레이팅 에센스 마스크,https://shoppinghow.kakao.com/product/productdetail.daum?productid=C2493778969&cateid=101107111102&q=,4640,1d532a02-1d50-4760-8e61-32b88b2a2270
오릭스 포 맨 컨트롤 스킨 410ml,https://shoppinghow.kakao.com/product/productdetail.daum?productid=E22427144&cateid=101107104105&q=,1440,2119924f-75ce-48dc-8a2d-ee71545d6700
자연마을 어성초 마스크 팩,https://shoppinghow.kakao.com/product/productdetail.daum?productid=C209035153&cateid=101107111102&q=,1780,824b6b31-4590-4b54-8793-5c808a024398
겔랑 테라코타 썸머 글로우 하이라이터 10g,https://shoppinghow.kakao.com/product/productdetail.daum?productid=B4916128712&cateid=101107109110&q=,54840,1647f43c-2919-4cbf-9de4-b56a4817779d
아모레퍼시픽 설화수 설린에센스 50ml,https://shoppinghow.kakao.com/product/productdetail.daum?productid=C4604090764&cateid=101107103105&q=,70660,8e7a54f7-93a6-4572-b6e0-cdd818e4cbd8
오메가 옐로우 쉐이빙 브러쉬 [80265],https://shoppinghow.kakao.com/product/productdetail.daum?productid=D4551559005&cateid=101107104111&q=,11180,9e576c8f-0d49-4a02-a942-24263dbf86eb
에이트루 퓨어 밸런싱 클렌징 오일,https://shoppinghow.kakao.com/product/productdetail.daum?productid=E1012092362&cateid=101107107100&q=,13610,241e2a3b-9e6e-47d7-b54d-ddbaaa2e972a
오가닉 글램 누드 스파클 팔레,https://shoppinghow.kakao.com/product/productdetail.daum?productid=C5090903572&cateid=101107103100&q=,42690,1e0396a3-71b9-4cb1-b545-c1e38083c838
유한메디카 오미희 초록 콩나물 건성수분팽윤 크림 [50ML],https://shoppinghow.kakao.com/product/productdetail.daum?productid=A5085741888&cateid=101107103106&q=,4820,ff43102a-d038-4562-97f8-252bd25a2c9c
스웨디시 드림 씨위드 비누 51g,https://shoppinghow.kakao.com/product/productdetail.daum?productid=A5083889814&cateid=101107107104&q=,10000,e478249f-4664-465b-ab66-b4f716b5909f
에코시크릿 화이트C 멀베리 스킨 200ml,https://shoppinghow.kakao.com/product/productdetail.daum?productid=E4170683090&cateid=101107103100&q=,15480,caba6a86-2506-4b68-ba8a-d1bf2df34e8a
바이올렛드림 마블 립 틴트밤 3g,https://shoppinghow.kakao.com/product/productdetail.daum?productid=C3995973676&cateid=101107109109&q=,9900,7098a277-c088-461c-b032-4c7eaed261b6
엥뎀 김미 수딩 클렌징 오일 255ml,https://shoppinghow.kakao.com/product/productdetail.daum?productid=D5083465983&cateid=101107107100&q=,16810,bb900b64-9267-4e35-872b-47a6e34d4141
